line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
1216,1,6,1,0,412.8618,1.8874,3.7,0,0,0,
1219,1,6,1,0,413.5326,1.8617,3.7,0,0,0,
1222,1,6,1,0,414.206,1.8338,3.7,0,0,0,
1225,1,6,1,0,414.882,1.8037,3.7,0,0,0,
1228,1,6,1,0,415.5605,1.7712,3.7,0,0,0,
1231,1,6,1,0,416.2416,1.7364,3.7,0,0,0,
1234,1,6,1,0,416.9253,1.6993,3.7,0,0,0,
1237,1,6,1,0,417.6115,1.6598,3.7,0,0,0,
1240,1,6,1,0,418.3002,1.6179,3.7,0,0,0,
1243,1,6,1,0,418.9915,1.5734,3.7,0,0,0,
1246,1,6,1,0,419.6852,1.5266,3.7,0,0,0,
1249,1,6,1,0,420.3815,1.4771,3.7,0,0,0,
1252,1,6,1,0,421.0802,1.4251,3.7,0,0,0,
1255,1,6,1,0,421.7815,1.3706,3.7,0,0,0,
1258,1,6,1,0,422.4852,1.3133,3.7,0,0,0,
1261,1,6,1,0,423.1913,1.2534,3.7,0,0,0,
1264,1,6,1,0,423.8999,1.1908,3.7,0,0,0,
1267,1,6,1,0,424.6109,1.1254,3.7,0,0,0,
1270,1,6,1,0,425.3244,1.0571,3.7,0,0,0,
1273,1,6,1,0,426.0402,0.986,3.7,0,0,0,
1276,1,6,1,0,426.7584,0.912,3.7,0,0,0,
1279,1,6,1,0,427.4789,0.835,3.7,0,0,0,
1282,1,6,1,0,428.2018,0.755,3.7,0,0,0,
1285,1,6,1,0,428.9271,0.6719,3.7,0,0,0,
1288,1,6,1,0,429.6546,0.5857,3.7,0,0,0,
1291,1,6,1,0,430.3844,0.4963,3.7,0,0,0,
1294,1,6,1,0,431.1166,0.4037,3.7,0,0,0,
1297,1,6,1,0,431.8509,0.3078,3.7,0,0,0,
1300,1,6,1,0,432.5875,0.2086,3.7,0,0,0,
1303,1,6,1,0,433.3263,0.106,3.7,0,0,0,
1306,1,6,1,0,434.0673,0,3.7,0,0,0,
1309,1,6,1,0,433.3915,-0.1066,3.7,0,0,0,
1312,1,6,1,0,432.7795,-0.212,3.7,0,0,0,
1315,1,6,1,0,432.1644,-0.316,3.7,0,0,0,
1318,1,6,1,0,431.5465,-0.4186,3.7,0,0,0,
1321,1,6,1,0,430.9256,-0.5198,3.7,0,0,0,
1324,1,6,1,0,430.3018,-0.6197,3.7,0,0,0,
1327,1,6,1,0,429.6751,-0.7181,3.7,0,0,0,
1330,1,6,1,0,429.0454,-0.815,3.7,0,0,0,
1333,1,6,1,0,428.4129,-0.9105,3.7,0,0,0,
1336,1,6,1,0,427.7774,-1.0044,3.7,0,0,0,
1339,1,6,1,0,427.1389,-1.0968,3.7,0,0,0,
1342,1,6,1,0,426.4976,-1.1876,3.7,0,0,0,
